iter	RMSE
0	0.06507888731
1	0.0622825804
2	0.05959372582
3	0.05704329203
4	0.05462767607
5	0.05226636894
6	0.05001745556
7	0.04793957718
8	0.04590374076
9	0.04394012824
10	0.04208729617
11	0.04033078963
12	0.03863492002
13	0.0370253838
14	0.0354714273
15	0.03400181759
16	0.03262106911
17	0.03131202388
18	0.03000856094
19	0.02877995359
20	0.02759966228
21	0.02653134951
22	0.02547270361
23	0.02449900408
24	0.02351009672
25	0.0225505139
26	0.02163867395
27	0.02082465961
28	0.0199929228
29	0.01921764067
30	0.01847879373
31	0.01777027794
32	0.01712882231
33	0.01648018259
34	0.01586478682
35	0.01528331016
36	0.01471317527
37	0.0142036195
38	0.01368701737
39	0.01321140177
40	0.01275426463
41	0.01230828327
42	0.01189992577
43	0.01150455998
44	0.01111744873
45	0.01075941644
46	0.01042618497
47	0.01008949408
48	0.00977286298
49	0.009479155089
50	0.009204616111
51	0.008947875762
52	0.008693900152
53	0.008470962236
54	0.008247908453
55	0.008031388708
56	0.007826286734
57	0.007643908853
58	0.007461473758
59	0.007294946229
60	0.007145346925
61	0.007001296876
62	0.006860714374
63	0.006735305074
64	0.006615401834
65	0.00650034396
66	0.006397300357
67	0.006298604945
68	0.006204491864
69	0.006112956957
70	0.006032117596
71	0.005954427049
72	0.005880967021
73	0.0058139631
74	0.005750621164
75	0.005690879641
76	0.005630436332
77	0.005573767013
78	0.005518357734
79	0.005468455366
80	0.005419345869
81	0.005373015994
82	0.005330406042
83	0.005288824491
84	0.005254460025
85	0.005220486537
86	0.005186150031
87	0.005155388394
88	0.005121130144
89	0.005090802869
90	0.005068160727
91	0.00504573746
92	0.005021118371
93	0.00499436516
94	0.004968753204
95	0.004948715659
96	0.004926369149
97	0.004905852477
98	0.004887822267
99	0.004869245711
100	0.004855813065
101	0.004838038859
102	0.004823523687
103	0.004809808044
104	0.004795085766
105	0.004780102405
106	0.004762041672
107	0.004748944021
108	0.00473405606
109	0.004723388368
110	0.004693402226
111	0.004681953922
112	0.004655075755
113	0.004644856062
114	0.004635204615
115	0.004626492299
116	0.004603879186
117	0.004596710517
118	0.00457397431
119	0.004553070904
120	0.004545384532
121	0.004537868472
122	0.0045244904
123	0.004506053586
124	0.004493216714
125	0.004485835235
126	0.004478538056
127	0.004469085112
128	0.004457704582
129	0.004448254736
130	0.004437672901
131	0.004430272813
132	0.004424604036
133	0.004420811811
134	0.0044089271
135	0.00440400859
136	0.004397954267
137	0.004389491811
138	0.004379932
139	0.004371474511
140	0.004361834126
141	0.004347943014
142	0.004342442751
143	0.004339764375
144	0.004326639401
145	0.004322432728
146	0.00431837567
147	0.004313010828
148	0.004302471274
149	0.004299071316
150	0.00429347654
151	0.004289041628
152	0.004287243897
153	0.00428384909
154	0.004277949049
155	0.004274793323
156	0.004266165889
157	0.00426368546
158	0.004260834312
159	0.004259655888
160	0.004251190395
161	0.004243929917
162	0.004234837465
163	0.004232080867
164	0.004221714827
165	0.004212488684
166	0.004206185216
167	0.004204998755
168	0.004198395857
169	0.004192922607
170	0.004183528496
171	0.004179744796
172	0.004171203471
173	0.004166149623
174	0.004160857121
175	0.004158949726
176	0.004152759659
177	0.004145508497
178	0.004137695207
179	0.004135096691
180	0.004134292724
181	0.004129332855
182	0.004124875091
183	0.004118001317
184	0.004113220097
185	0.004109962624
186	0.004104291558
187	0.004101484304
188	0.004092341678
189	0.004085618593
190	0.004084648704
191	0.004080002736
192	0.004072699635
193	0.004065331161
194	0.004064212331
195	0.004063425988
196	0.004057569961
197	0.004055673559
198	0.004049723532
199	0.004045532968
200	0.004039157287
201	0.004032547441
202	0.004031154025
203	0.004027348979
204	0.004022002411
205	0.004021048953
206	0.004020738904
207	0.004011205256
208	0.004010567937
209	0.004009562235
210	0.004004958724
211	0.004003652892
212	0.003999274156
213	0.003993584593
214	0.0039868525
215	0.003985031771
216	0.003983957498
217	0.003978297271
218	0.003974801457
219	0.003973803393
220	0.003967773143
221	0.003967044689
222	0.003961971526
223	0.003956574432
224	0.003948793775
225	0.003947983458
226	0.003947681001
227	0.003944179906
228	0.00393917945
229	0.003934258984
230	0.003929609115
231	0.003927002259
232	0.0039228907
233	0.003917305939
234	0.003914163133
235	0.003913833831
236	0.003909724916
237	0.003908034458
238	0.00390715821
239	0.003903060094
240	0.003897832968
241	0.003893656861
242	0.003887524558
243	0.003886112568
244	0.003881931313
245	0.003881542266
246	0.003876612313
247	0.003875066237
248	0.003867127825
249	0.003865688276
250	0.003864557322
251	0.003858903663
252	0.003853518734
253	0.003848354188
254	0.003846013259
255	0.003841602251
256	0.003840929416
257	0.003838868514
258	0.003837696392
259	0.003836462492
260	0.003831604094
261	0.00383129379
262	0.003823405694
263	0.003816187405
264	0.003810941475
265	0.00381002811
266	0.003805855412
267	0.003800979958
268	0.003799896442
269	0.003799614664
270	0.00379606072
271	0.003795150382
272	0.003788479044
273	0.003786294798
274	0.003785574955
275	0.003782946997
276	0.003778417932
277	0.003777441498
278	0.003775624017
279	0.003769506732
280	0.003767283809
281	0.003767007097
282	0.003763338871
283	0.003756847962
284	0.003753310436
285	0.003747331733
286	0.003746596265
287	0.003743257506
288	0.003742380093
289	0.003739070563
290	0.00373660344
291	0.003731094512
292	0.003726821344
293	0.003721035302
294	0.003715634448
295	0.003709855496
296	0.00370918424
297	0.003708308498
298	0.003707432859
299	0.003704080772
